id,mark,name_en,name_ru,offset_x,offset_y
0,AREA_AFGHANISTAN,Afghanistan,Афганистан,,
1,AREA_ALBANIA,Albania,Албания,,
2,AREA_ALGERIA,Algeria,Алжир,,
3,AREA_ANGOLA,Angola,Ангола,,
4,AREA_ARGENTINA,Argentina,Аргентина,,
5,AREA_ARMENIA,Armenia,Армения,,
6,AREA_AUSTRALIA,Australia,Австралия,,
7,AREA_AUSTRIA,Austria,Австрия,,
8,AREA_AZERBAIJAN,Azerbajdzhan,Азербайджан,,
9,AREA_BANGLADESH,Bangladesh,Бангладеш,,
10,AREA_BELORUSSIA,Belorussia,Беларусь,,
11,AREA_BELGIUM,Belgium,Бельгия,,
12,AREA_BELIZE,Belize,Белиз,,
13,AREA_BENIN,Benin,Бенин,,
14,AREA_BOLIVIA,Bolivia,Боливия,,
15,AREA_BOSNIAANDHERZEGOVINA,Bosnia and Herzegovina,Босния и Герцеговина,,
16,AREA_BOTSWANA,Botswana,Ботсвана,,
17,AREA_BRAZIL,Brazil,Бразилия,,
19,AREA_BULGARIA,Bulgaria,Болгария,,
20,AREA_BURKINAFASO,Burkina faso,Буркина-Фасо,,
21,AREA_BURUNDI,Burundi,Бурунди,,
22,AREA_BHUTAN,Bhutan,Бутан,,
23,AREA_CAMBODIA,Cambodia,Камбоджа,,
24,AREA_CAMEROON,Cameroon,Камерун,,10
25,AREA_CANADA,Canada,Канада,,
26,AREA_THECENTRALAFRICANREPUBLIC,Central African Republic,Центральноафриканская Республика,,
27,AREA_CHAD,Chad,Чад,,
28,AREA_CHILE,Chile,Чили,20,
29,AREA_CHINA,China,Китай,,
30,AREA_THEIVORYCOAST,Code devouar,Кот д'Ивуар,,
31,AREA_COLOMBIA,Colombia,Колумбия,,
32,AREA_THECONGO,Congo,Республика Конго,,
33,AREA_COSTARICA,Costa Rica,Коста-Рика,,
34,AREA_CUBA,Cuba,Куба,,
35,AREA_CZECHREPUBLIC,Czech Republic,Чешская Республика,,
36,AREA_DENMARK,Denmark,Дания,,
37,AREA_DJIBOUTI,Djibouti,Джибути,,
38,AREA_THEDOMINICANREPUBLIC,Dominican Republic,Доминиканская Республика,-10,
39,AREA_DEMOCRATICREPUBLICOFTHECONGO,Democratic Republic of the Congo,Демократическая республика Конго,,
40,AREA_ECUADOR,Ecuador,Эквадор,,
41,AREA_EGYPT,Egypt,Египет,,
42,AREA_ELSALVADOR,El Salvador,Сальвадор,,
43,AREA_EQUATORIALGUINEA,Equatorial Guinea,Экваториальная Гвинея,,
44,AREA_ERITREA,Eritrea,Эритрея,,
45,AREA_ESTONIA,Estonia,Эстония,,
46,AREA_ETHIOPIA,Ethiopia,Эфиопия,,
47,AREA_FINLAND,Finland,Финляндия,,
48,AREA_FRANCE,France,Франция,75,-55
49,AREA_GABON,Gabon,Габон,,
50,AREA_GEORGIEN,Georgien,Грузия,,
51,AREA_GERMANY,Germany,Германия,,
52,AREA_GHANA,Ghana,Гана,,
53,AREA_GREECE,Greece,Греция,,
54,AREA_GUATEMALA,Guatemala,Гватемала,,
55,AREA_GUINEA,Guinea,Гвинея,5,-5
56,AREA_GUINEABISSAU,Guinea-bissau,Гвинея-Бисау,,
57,AREA_HAITI,Haiti,Гаити,,
58,AREA_HONDURAS,Honduras,Гондурас,,
59,AREA_CROATIA,Croatia,Хорватия,,-5
60,AREA_HUNGARY,Hungary,Венгрия,,
61,AREA_ICELAND,Iceland,Исландия,,
62,AREA_INDIA,India,Индия,,
63,AREA_INDONESIA,Indonesia,Индонезия,,
64,AREA_IRAN,Iran,Иран,,
65,AREA_IRAQ,Iraq,Ирак,,
66,AREA_IRELAND,Ireland,Ирландия,,
67,AREA_ISRAEL,Israel,Израиль,,
68,AREA_ITALY,Italy,Италия,,
69,AREA_JAPAN,Japan,Япония,,
70,AREA_JORDAN,Jordan,Иордания,,
71,AREA_KAZAKHSTAN,Kazakhstan,Казахстан,,
72,AREA_KENYA,Kenya,Кения,,
74,AREA_KYRGYZSTAN,Kyrgyzstan,Кыргызстан,,
75,AREA_LAOS,Laos,Лаос,-5,-10
76,AREA_LATVIA,Latvia,Латвия,,
77,AREA_LESOTHO,Lesotho,Лесото,,
78,AREA_LIBERIA,Liberia,Либерия,,
79,AREA_LIBYA,Libya,Ливия,,
80,AREA_LITHUANIA,Lithuania,Литва,,
81,AREA_MADAGASCAR,Madagascar,Мадагаскар,,10
82,AREA_MALAWI,Malawi,Малави,,
83,AREA_MALAYSIA,Malaysia,Малайзия,,
84,AREA_MALI,Mali,Мали,,
85,AREA_MAURITANIA,Mauritania,Мавритания,,
86,AREA_MEXICO,Mexico,Мексика,,
87,AREA_MOLDOVA,Moldova,Молдова,,
88,AREA_MONGOLIA,Mongolia,Монголия,,
89,AREA_MOROCCO,Morocco,Марокко,10,
90,AREA_MOZAMBIQUE,Mozambic,Мозамбик,,
91,AREA_MYANMAR,Myanmar,Мьянма,,
92,AREA_NAMIBIA,Namibia,Намибия,,
93,AREA_NEPAL,Nepal,Непал,,
94,AREA_THENETHERLANDS,Netherlands,Нидерланды,,
95,AREA_NEWZEALAND,New Zealand,Новая Зеландия,,
96,AREA_NICARAGUA,Nicaragua,Никарагуа,,
97,AREA_NIGERIA,Nigeria,Нигерия,,
98,AREA_NIGER,Niger,Нигер,,
99,AREA_NORTHKOREA,North Korea,Северная Корея,,
100,AREA_MACEDONIA,Macedonia,Северная Македония,,
101,AREA_NORWAY,Norway,Норвегия,-8,40
102,AREA_OMAN,Oman,Оман,,
103,AREA_PAKISTAN,Pakistan,Пакистан,,
104,AREA_PANAMA,Panama,Панама,,
105,AREA_PAPUANEWGUINEA,Papua New Guinea,Папуа-Новая Гвинея,-10,
106,AREA_PARAGUAY,Paraguay,Парагвай,,
107,AREA_PERU,Peru,Перу,,
108,AREA_THEPHILIPPINES,Philippines,Филиппины,,
109,AREA_SURINAM,Surinam,Суринам,,
110,AREA_POLAND,Poland,Польша,,
111,AREA_PORTUGAL,Portugal,Португалия,30,-5
112,AREA_ROMANIA,Romania,Румыния,,
113,AREA_RUSSIA,Russia,Россия,,
114,AREA_RWANDA,Rwanda,Руанда,,
115,AREA_SAUDIARABIA,Saudi Arabia,Саудовская Аравия,,
116,AREA_SENEGAL,Senegal,Сенегал,10,
117,AREA_SERBIA,Serbia,Сербия,,
118,AREA_SIERRALEONE,Sierra Leone,Сьерра-Леоне,,
119,AREA_SLOVAKIA,Slovakia,Словакия,,
120,CITY_SOLOMONISLANDS,Solomon islands,Соломоновы Острова,,
121,AREA_SOMALIA,Somalia,Сомали,,-15
122,AREA_SOUTHAFRICA,South Africa,Южная Африка,-5,-20
123,AREA_SOUTHKOREA,South Korea,Южная Корея,,
124,AREA_SOUTHSUDAN,South Sudan,Южный Судан,,
125,AREA_SPAIN,Spain,Испания,10,-20
126,AREA_SRILANKA,Sri lanka,Шри-Ланка,,
127,AREA_THESUDAN,Sudan,Судан,,
128,AREA_SWEDEN,Sweden,Швеция,,
129,AREA_SWITZERLAND,Switzerland,Швейцария,,
130,AREA_SYRIA,Syria,Сирия,,
131,AREA_TAIWAN,Taiwan,Тайвань,,
132,AREA_TAJIKISTAN,Tajikistan,Таджикистан,,
133,AREA_TANZANIA,Tanzania,Танзания,,
134,AREA_THAILAND,Thailand,Таиланд,5,-5
135,AREA_TOGO,Togo,Того,,
136,AREA_TUNISIA,Tunisia,Тунис,-5,
137,AREA_TURKEY,Turkey,Турция,,
138,AREA_TURKMENISTAN,Turkmenistan,Туркмения,,
139,AREA_THEUNITEDARABEMIRATES,United Arab Emirates,Объединенные Арабские Эмираты,,5
140,AREA_THEUNITEDKINGDOM,United Kingdom,Соединенное Королевство,,
141,AREA_THEUNITEDSTATES,United States,Соединенные Штаты,20,20
142,AREA_UGANDA,Uganda,Уганда,,
143,AREA_THEUKRAINE,Ukraine,Украина,,
144,AREA_URUGUAY,Uruguay,Уругвай,,
145,AREA_UZBEKISTAN,Uzbekistan,Узбекистан,,
146,AREA_VENEZUELA,Venezuela,Венесуэла,,
147,AREA_VIETNAM,Vietnam,Вьетнам,,
148,AREA_YEMEN,Yemen,Йемен,,
149,AREA_ZAMBIA,Zambia,Замбия,-10,5
150,AREA_ZIMBABWE,Zimbabwe,Зимбабве,,
151,AREA_GUYANA,Guyana,Гайана,,
